DATE,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,TMAX,TMIN
1891-08-04,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,23.9,17.8
1891-08-05,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,23.9,17.2
1891-08-06,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,27.8,16.7
1891-08-07,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,31.7,20.0
1891-08-08,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,29.4,15.6
1891-08-09,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,25.6,14.4
1891-08-10,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,35.6,18.3
1891-08-11,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,33.3,21.1
1891-08-12,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,32.8,23.3
1891-08-13,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,31.1,20.6
1891-08-14,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,33.3,16.7
1891-08-15,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,30.0,16.7
1891-08-16,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,27.2,15.6
1891-08-17,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,27.2,15.6
1891-08-18,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,28.9,17.8
1891-08-19,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,23.9,15.6
1891-08-20,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,26.7,15.6
1891-08-21,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,26.1,17.2
1891-08-22,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,26.7,21.1
1891-08-23,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,31.7,17.2
1891-08-24,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,27.8,18.3
1891-08-25,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,29.4,21.1
1891-08-26,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,29.4,18.3
1891-08-27,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,23.3,19.4
1891-08-28,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,28.3,21.1
1891-08-29,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,25.6,12.8
1891-08-30,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,22.8,12.8
1891-08-31,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,18.9,12.8
1891-09-01,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,20.6,15.0
1891-09-02,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,22.2,13.3
1891-09-03,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,26.1,14.4
1891-09-04,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,25.0,16.7
1891-09-05,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,25.6,16.7
1891-09-06,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,24.4,17.8
1891-09-07,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,23.9,18.3
1891-09-08,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,24.4,13.3
1891-09-09,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,21.7,10.6
1891-09-10,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,21.7,10.0
1891-09-11,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,25.6,10.6
1891-09-12,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,23.9,12.8
1891-09-13,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,22.2,15.6
1891-09-14,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,25.6,15.6
1891-09-15,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,22.2,12.2
1891-09-16,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,22.2,12.8
1891-09-17,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,23.3,11.1
1891-09-18,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,25.0,12.8
1891-09-19,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,31.7,18.3
1891-09-20,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,27.2,13.3
1891-09-21,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,25.6,13.9
1891-09-22,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,27.2,15.0
1891-09-23,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,25.6,17.8
1891-09-24,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,30.6,17.8
1891-09-25,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,28.3,17.2
1891-09-26,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,26.7,18.3
1891-09-27,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,30.6,18.9
1891-09-28,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,23.3,18.3
1891-09-29,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,26.1,11.7
1891-09-30,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,16.7,11.1
1891-10-01,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,20.6,8.9
1891-10-02,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,22.8,11.1
1891-10-03,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,27.8,12.8
1891-10-04,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,26.7,15.6
1891-10-05,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,28.3,8.9
1891-10-06,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,17.8,6.7
1891-10-07,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,16.7,10.6
1891-10-08,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,18.3,7.2
1891-10-09,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,15.6,7.2
1891-10-10,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,17.2,8.9
1891-10-11,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,18.3,4.4
1891-10-12,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,10.0,3.9
1891-10-13,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,10.0,7.2
1891-10-14,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,17.8,6.1
1891-10-15,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,17.2,5.0
1891-10-16,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,15.6,3.9
1891-10-17,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,17.8,4.4
1891-10-18,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,15.6,8.9
1891-10-19,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,15.0,7.2
1891-10-20,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,16.7,6.1
1891-10-21,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,17.2,7.8
1891-10-22,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,12.8,1.7
1891-10-23,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,11.1,3.3
1891-10-24,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,7.2,1.7
1891-10-25,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,14.4,0.0
1891-10-26,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,16.1,7.2
1891-10-27,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,10.0,0.6
1891-10-28,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,24.4,-2.2
1891-10-29,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,11.1,-1.1
1891-10-30,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,16.7,6.1
1891-10-31,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,19.4,7.2
1891-11-01,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,13.9,1.7
1891-11-02,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,8.9,-1.7
1891-11-03,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,6.7,-3.9
1891-11-04,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,7.2,-3.9
1891-11-05,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,7.2,0.0
1891-11-06,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,9.4,0.6
1891-11-07,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,13.9,1.7
1891-11-08,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,15.0,1.7
1891-11-09,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,12.2,4.4
1891-11-10,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,14.4,3.3
1891-11-11,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,15.6,4.4
1891-11-12,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,18.3,2.8
1891-11-13,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,10.6,0.6
1891-11-14,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,12.2,0.6
1891-11-15,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,11.1,1.7
1891-11-16,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,14.4,8.9
1891-11-17,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,14.4,-4.4
1891-11-18,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,3.3,-3.3
1891-11-19,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,5.6,-5.0
1891-11-20,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,9.4,-5.0
1891-11-21,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,11.1,1.1
1891-11-22,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,14.4,7.2
1891-11-23,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,15.6,5.0
1891-11-24,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,10.0,-1.1
1891-11-25,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,7.2,-1.1
1891-11-26,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,7.2,-0.6
1891-11-27,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,10.0,3.3
1891-11-28,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,10.0,-1.1
1891-11-29,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,-5.0,-12.2
1891-11-30,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,-5.0,-12.2
1891-12-01,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,7.2,-3.9
1891-12-02,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,7.2,-1.1
1891-12-03,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,14.4,1.7
1891-12-04,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,15.6,2.8
1891-12-05,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,11.1,2.8
1891-12-06,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,14.4,2.8
1891-12-07,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,10.6,-1.1
1891-12-08,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,5.6,0.0
1891-12-09,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,10.0,1.1
1891-12-10,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,14.4,1.7
1891-12-11,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,11.1,0.6
1891-12-12,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,9.4,1.1
1891-12-13,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,13.3,1.7
1891-12-14,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,18.3,8.3
1891-12-15,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,12.8,-5.6
1891-12-16,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,12.8,-5.6
1891-12-17,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,-2.8,-11.7
1891-12-18,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,0.0,-9.4
1891-12-19,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,5.6,-5.6
1891-12-20,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,4.4,-2.2
1891-12-21,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,10.0,0.6
1891-12-22,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,8.3,0.0
1891-12-23,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,14.4,5.6
1891-12-24,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,10.0,4.4
1891-12-25,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,11.1,4.4
1891-12-26,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,12.2,-1.1
1891-12-27,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,8.9,-3.9
1891-12-28,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,5.6,-3.9
1891-12-29,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,10.0,2.2
1891-12-30,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,5.6,-6.7
1891-12-31,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,3.3,-5.6
1892-01-01,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,8.9,-5.6
1892-01-02,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,11.1,10.0
1892-01-03,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,10.0,-3.3
1892-01-04,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,0.0,-8.3
1892-01-05,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,2.8,-6.7
1892-01-06,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,1.1,-5.6
1892-01-07,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,1.7,-5.6
1892-01-08,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,0.0,-11.7
1892-01-09,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,1.7,-7.8
1892-01-10,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,0.0,-8.9
1892-01-11,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,-1.1,-7.8
1892-01-12,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,1.1,-5.6
1892-01-13,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,8.9,-7.8
1892-01-14,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,11.1,-4.4
1892-01-15,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,10.0,-6.7
1892-01-16,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,1.7,-11.1
1892-01-17,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,0.0,-12.2
1892-01-18,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,2.8,-6.7
1892-01-19,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,8.9,-3.9
1892-01-20,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,-2.2,-15.0
1892-01-21,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,0.0,-15.0
1892-01-22,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,0.0,-8.3
1892-01-23,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,6.7,-2.2
1892-01-24,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,3.3,-5.0
1892-01-25,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,7.2,-2.2
1892-01-26,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,3.3,-13.3
1892-01-27,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,-5.6,-11.1
1892-01-28,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,2.8,-1.1
1892-01-29,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,5.6,-2.2
1892-01-30,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,3.3,-3.3
1892-01-31,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,3.3,-5.0
1892-02-01,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,4.4,-2.8
1892-02-02,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,3.3,0.0
1892-02-03,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,4.4,-2.8
1892-02-04,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,3.3,-5.6
1892-02-05,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,0.0,-12.2
1892-02-06,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,0.0,-11.7
1892-02-07,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,2.8,-6.7
1892-02-08,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,10.0,-1.1
1892-02-09,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,7.2,-5.0
1892-02-10,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,4.4,-5.6
1892-02-11,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,2.8,-5.6
1892-02-12,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,3.3,-12.2
1892-02-13,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,-4.4,-12.2
1892-02-14,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,4.4,-9.4
1892-02-15,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,8.9,-8.9
1892-02-16,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,-2.2,-11.7
1892-02-17,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,-2.2,-11.1
1892-02-18,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,7.8,-11.1
1892-02-19,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,1.1,-5.6
1892-02-20,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,1.7,-1.1
1892-02-21,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,3.3,-0.6
1892-02-22,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,5.0,-0.6
1892-02-23,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,5.6,-1.1
1892-02-24,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,3.3,1.7
1892-02-25,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,4.4,0.6
1892-02-26,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,4.4,-1.1
1892-02-27,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,3.3,-6.7
1892-02-28,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,-1.1,-6.7
1892-02-29,USC00302001,"DAVIDS ISLAND, NY US",40.883056,-73.768333,6.1,1.7,-3.9
