DATE,STATION,LATITUDE,LONGITUDE,PRCP
2018-01-19,US1NYES0009,44.21543,-73.75098,0.3
2018-01-20,US1NYES0009,44.21543,-73.75098,0.0
2018-01-21,US1NYES0009,44.21543,-73.75098,0.0
2018-01-22,US1NYES0009,44.21543,-73.75098,0.0
2018-01-23,US1NYES0009,44.21543,-73.75098,2.8
2018-01-24,US1NYES0009,44.21543,-73.75098,7.6
2018-01-25,US1NYES0009,44.21543,-73.75098,0.0
2018-01-26,US1NYES0009,44.21543,-73.75098,0.0
2018-01-27,US1NYES0009,44.21543,-73.75098,0.0
2018-01-28,US1NYES0009,44.21543,-73.75098,0.5
2018-01-29,US1NYES0009,44.21543,-73.75098,0.0
2018-01-30,US1NYES0009,44.21543,-73.75098,0.0
2018-01-31,US1NYES0009,44.21543,-73.75098,0.0
2018-02-01,US1NYES0009,44.21543,-73.75098,0.0
2018-02-02,US1NYES0009,44.21543,-73.75098,3.8
2018-02-03,US1NYES0009,44.21543,-73.75098,0.5
2018-02-04,US1NYES0009,44.21543,-73.75098,0.3
2018-02-05,US1NYES0009,44.21543,-73.75098,5.3
2018-02-06,US1NYES0009,44.21543,-73.75098,0.0
2018-02-07,US1NYES0009,44.21543,-73.75098,0.5
2018-02-08,US1NYES0009,44.21543,-73.75098,13.7
2018-02-09,US1NYES0009,44.21543,-73.75098,0.0
2018-02-11,US1NYES0009,44.21543,-73.75098,
2018-02-12,US1NYES0009,44.21543,-73.75098,1.5
2018-02-13,US1NYES0009,44.21543,-73.75098,0.0
2018-02-14,US1NYES0009,44.21543,-73.75098,0.0
2018-02-15,US1NYES0009,44.21543,-73.75098,0.0
2018-02-16,US1NYES0009,44.21543,-73.75098,0.0
2018-02-17,US1NYES0009,44.21543,-73.75098,0.8
2018-02-18,US1NYES0009,44.21543,-73.75098,1.0
2018-02-19,US1NYES0009,44.21543,-73.75098,0.0
2018-02-20,US1NYES0009,44.21543,-73.75098,3.0
2018-02-21,US1NYES0009,44.21543,-73.75098,0.8
2018-02-22,US1NYES0009,44.21543,-73.75098,0.0
2018-02-23,US1NYES0009,44.21543,-73.75098,0.0
2018-02-24,US1NYES0009,44.21543,-73.75098,0.0
2018-02-25,US1NYES0009,44.21543,-73.75098,0.0
2018-02-26,US1NYES0009,44.21543,-73.75098,7.9
2018-02-27,US1NYES0009,44.21543,-73.75098,0.0
2018-02-28,US1NYES0009,44.21543,-73.75098,0.0
2018-03-01,US1NYES0009,44.21543,-73.75098,0.0
2018-03-02,US1NYES0009,44.21543,-73.75098,0.0
2018-03-03,US1NYES0009,44.21543,-73.75098,13.0
2018-03-04,US1NYES0009,44.21543,-73.75098,1.8
2018-03-05,US1NYES0009,44.21543,-73.75098,8.6
2018-03-06,US1NYES0009,44.21543,-73.75098,0.0
2018-03-07,US1NYES0009,44.21543,-73.75098,0.0
2018-03-08,US1NYES0009,44.21543,-73.75098,14.7
2018-03-09,US1NYES0009,44.21543,-73.75098,7.9
2018-03-10,US1NYES0009,44.21543,-73.75098,1.8
2018-03-11,US1NYES0009,44.21543,-73.75098,0.5
2018-03-12,US1NYES0009,44.21543,-73.75098,0.0
2018-03-13,US1NYES0009,44.21543,-73.75098,7.6
2018-03-14,US1NYES0009,44.21543,-73.75098,15.5
2018-03-15,US1NYES0009,44.21543,-73.75098,15.7
2018-03-16,US1NYES0009,44.21543,-73.75098,0.5
2018-03-18,US1NYES0009,44.21543,-73.75098,0.0
2018-03-19,US1NYES0009,44.21543,-73.75098,0.0
2018-03-20,US1NYES0009,44.21543,-73.75098,0.0
2018-03-21,US1NYES0009,44.21543,-73.75098,0.0
2018-03-22,US1NYES0009,44.21543,-73.75098,0.0
2018-03-23,US1NYES0009,44.21543,-73.75098,0.0
2018-03-24,US1NYES0009,44.21543,-73.75098,0.0
2018-03-25,US1NYES0009,44.21543,-73.75098,0.0
2018-03-26,US1NYES0009,44.21543,-73.75098,0.0
2018-03-27,US1NYES0009,44.21543,-73.75098,0.0
2018-03-28,US1NYES0009,44.21543,-73.75098,0.3
2018-03-29,US1NYES0009,44.21543,-73.75098,0.0
2018-03-30,US1NYES0009,44.21543,-73.75098,6.6
2018-03-31,US1NYES0009,44.21543,-73.75098,0.0
2018-04-01,US1NYES0009,44.21543,-73.75098,1.8
2018-04-02,US1NYES0009,44.21543,-73.75098,0.0
2018-04-03,US1NYES0009,44.21543,-73.75098,0.0
2018-04-04,US1NYES0009,44.21543,-73.75098,6.4
2018-04-06,US1NYES0009,44.21543,-73.75098,
2018-04-07,US1NYES0009,44.21543,-73.75098,3.0
2018-04-08,US1NYES0009,44.21543,-73.75098,0.0
2018-04-09,US1NYES0009,44.21543,-73.75098,0.8
2018-04-10,US1NYES0009,44.21543,-73.75098,0.0
2018-04-11,US1NYES0009,44.21543,-73.75098,0.0
2018-04-12,US1NYES0009,44.21543,-73.75098,1.0
2018-04-13,US1NYES0009,44.21543,-73.75098,9.7
2018-04-14,US1NYES0009,44.21543,-73.75098,17.3
2018-04-15,US1NYES0009,44.21543,-73.75098,14.0
2018-04-19,US1NYES0009,44.21543,-73.75098,
2018-04-20,US1NYES0009,44.21543,-73.75098,1.0
2018-04-21,US1NYES0009,44.21543,-73.75098,0.0
2018-04-22,US1NYES0009,44.21543,-73.75098,0.0
2018-04-23,US1NYES0009,44.21543,-73.75098,0.0
2018-04-24,US1NYES0009,44.21543,-73.75098,0.0
2018-04-25,US1NYES0009,44.21543,-73.75098,0.0
2018-04-26,US1NYES0009,44.21543,-73.75098,20.6
2018-04-27,US1NYES0009,44.21543,-73.75098,0.0
2018-04-28,US1NYES0009,44.21543,-73.75098,1.3
2018-04-29,US1NYES0009,44.21543,-73.75098,9.9
2018-04-30,US1NYES0009,44.21543,-73.75098,
2018-05-01,US1NYES0009,44.21543,-73.75098,2.8
2018-05-03,US1NYES0009,44.21543,-73.75098,0.3
2018-05-04,US1NYES0009,44.21543,-73.75098,1.0
2018-05-09,US1NYES0009,44.21543,-73.75098,0.0
2018-05-10,US1NYES0009,44.21543,-73.75098,0.0
2018-05-11,US1NYES0009,44.21543,-73.75098,0.0
2018-05-12,US1NYES0009,44.21543,-73.75098,0.0
2018-05-13,US1NYES0009,44.21543,-73.75098,0.0
2018-05-14,US1NYES0009,44.21543,-73.75098,0.0
2018-05-15,US1NYES0009,44.21543,-73.75098,0.0
2018-05-16,US1NYES0009,44.21543,-73.75098,13.7
2018-05-17,US1NYES0009,44.21543,-73.75098,0.0
2018-05-18,US1NYES0009,44.21543,-73.75098,0.0
2018-05-19,US1NYES0009,44.21543,-73.75098,0.0
2018-05-20,US1NYES0009,44.21543,-73.75098,3.3
2018-05-21,US1NYES0009,44.21543,-73.75098,0.8
2018-05-22,US1NYES0009,44.21543,-73.75098,0.0
2018-05-23,US1NYES0009,44.21543,-73.75098,8.4
2018-05-24,US1NYES0009,44.21543,-73.75098,0.0
2018-05-25,US1NYES0009,44.21543,-73.75098,0.0
2018-05-26,US1NYES0009,44.21543,-73.75098,2.5
2018-05-27,US1NYES0009,44.21543,-73.75098,0.3
2018-05-28,US1NYES0009,44.21543,-73.75098,0.0
2018-05-29,US1NYES0009,44.21543,-73.75098,0.3
2018-05-30,US1NYES0009,44.21543,-73.75098,0.0
2018-05-31,US1NYES0009,44.21543,-73.75098,0.0
2018-06-01,US1NYES0009,44.21543,-73.75098,0.0
2018-06-02,US1NYES0009,44.21543,-73.75098,41.7
2018-06-03,US1NYES0009,44.21543,-73.75098,0.0
2018-06-04,US1NYES0009,44.21543,-73.75098,5.6
2018-06-05,US1NYES0009,44.21543,-73.75098,0.0
2018-06-12,US1NYES0009,44.21543,-73.75098,
2018-06-14,US1NYES0009,44.21543,-73.75098,4.8
2018-06-16,US1NYES0009,44.21543,-73.75098,
2018-06-17,US1NYES0009,44.21543,-73.75098,0.0
2018-06-18,US1NYES0009,44.21543,-73.75098,0.0
2018-06-19,US1NYES0009,44.21543,-73.75098,7.1
2018-06-20,US1NYES0009,44.21543,-73.75098,0.0
2018-06-21,US1NYES0009,44.21543,-73.75098,0.0
2018-06-23,US1NYES0009,44.21543,-73.75098,0.0
2018-06-24,US1NYES0009,44.21543,-73.75098,3.6
2018-06-25,US1NYES0009,44.21543,-73.75098,3.0
2018-06-26,US1NYES0009,44.21543,-73.75098,0.0
2018-06-27,US1NYES0009,44.21543,-73.75098,0.0
2018-06-28,US1NYES0009,44.21543,-73.75098,21.8
2018-06-29,US1NYES0009,44.21543,-73.75098,5.6
2018-06-30,US1NYES0009,44.21543,-73.75098,0.0
2018-07-01,US1NYES0009,44.21543,-73.75098,0.0
2018-07-02,US1NYES0009,44.21543,-73.75098,0.0
2018-07-03,US1NYES0009,44.21543,-73.75098,0.5
2018-07-04,US1NYES0009,44.21543,-73.75098,0.0
2018-07-05,US1NYES0009,44.21543,-73.75098,0.0
2018-07-06,US1NYES0009,44.21543,-73.75098,19.1
2018-07-07,US1NYES0009,44.21543,-73.75098,0.0
2018-07-08,US1NYES0009,44.21543,-73.75098,0.0
2018-07-09,US1NYES0009,44.21543,-73.75098,0.0
2018-07-10,US1NYES0009,44.21543,-73.75098,0.0
2018-07-11,US1NYES0009,44.21543,-73.75098,3.3
2018-07-12,US1NYES0009,44.21543,-73.75098,0.0
2018-07-13,US1NYES0009,44.21543,-73.75098,0.0
2018-07-14,US1NYES0009,44.21543,-73.75098,0.0
2018-07-15,US1NYES0009,44.21543,-73.75098,0.0
2018-07-16,US1NYES0009,44.21543,-73.75098,0.0
2018-07-17,US1NYES0009,44.21543,-73.75098,0.0
2018-07-18,US1NYES0009,44.21543,-73.75098,4.6
2018-07-19,US1NYES0009,44.21543,-73.75098,0.0
2018-07-20,US1NYES0009,44.21543,-73.75098,0.0
2018-07-21,US1NYES0009,44.21543,-73.75098,0.0
2018-07-22,US1NYES0009,44.21543,-73.75098,0.0
2018-07-23,US1NYES0009,44.21543,-73.75098,7.9
2018-07-24,US1NYES0009,44.21543,-73.75098,20.6
2018-07-25,US1NYES0009,44.21543,-73.75098,0.5
2018-07-26,US1NYES0009,44.21543,-73.75098,18.3
2018-07-27,US1NYES0009,44.21543,-73.75098,5.1
2018-07-28,US1NYES0009,44.21543,-73.75098,2.0
2018-07-30,US1NYES0009,44.21543,-73.75098,0.0
2018-07-31,US1NYES0009,44.21543,-73.75098,0.8
2018-08-01,US1NYES0009,44.21543,-73.75098,0.0
2018-08-02,US1NYES0009,44.21543,-73.75098,1.5
2018-08-03,US1NYES0009,44.21543,-73.75098,0.0
2018-08-04,US1NYES0009,44.21543,-73.75098,1.8
2018-08-05,US1NYES0009,44.21543,-73.75098,9.1
2018-08-06,US1NYES0009,44.21543,-73.75098,0.0
2018-08-07,US1NYES0009,44.21543,-73.75098,0.0
2018-08-08,US1NYES0009,44.21543,-73.75098,2.0
2018-08-09,US1NYES0009,44.21543,-73.75098,0.0
2018-08-10,US1NYES0009,44.21543,-73.75098,5.6
2018-08-11,US1NYES0009,44.21543,-73.75098,0.0
2018-08-12,US1NYES0009,44.21543,-73.75098,0.0
2018-08-13,US1NYES0009,44.21543,-73.75098,0.0
2018-08-14,US1NYES0009,44.21543,-73.75098,8.9
2018-08-15,US1NYES0009,44.21543,-73.75098,1.0
2018-08-16,US1NYES0009,44.21543,-73.75098,17.5
2018-08-17,US1NYES0009,44.21543,-73.75098,0.0
2018-08-18,US1NYES0009,44.21543,-73.75098,13.5
2018-08-21,US1NYES0009,44.21543,-73.75098,0.0
2018-08-22,US1NYES0009,44.21543,-73.75098,0.5
2018-08-23,US1NYES0009,44.21543,-73.75098,0.3
2018-08-24,US1NYES0009,44.21543,-73.75098,0.0
2018-08-25,US1NYES0009,44.21543,-73.75098,0.0
2018-08-26,US1NYES0009,44.21543,-73.75098,0.0
2018-08-27,US1NYES0009,44.21543,-73.75098,0.0
2018-08-28,US1NYES0009,44.21543,-73.75098,0.0
2018-08-30,US1NYES0009,44.21543,-73.75098,4.3
2018-08-31,US1NYES0009,44.21543,-73.75098,0.0
2018-09-02,US1NYES0009,44.21543,-73.75098,0.0
2018-09-03,US1NYES0009,44.21543,-73.75098,0.0
2018-09-04,US1NYES0009,44.21543,-73.75098,0.8
2018-09-05,US1NYES0009,44.21543,-73.75098,0.0
2018-09-06,US1NYES0009,44.21543,-73.75098,0.0
2018-09-07,US1NYES0009,44.21543,-73.75098,2.3
2018-09-08,US1NYES0009,44.21543,-73.75098,0.0
2018-09-09,US1NYES0009,44.21543,-73.75098,0.0
2018-09-10,US1NYES0009,44.21543,-73.75098,0.0
2018-09-11,US1NYES0009,44.21543,-73.75098,19.1
2018-09-12,US1NYES0009,44.21543,-73.75098,2.3
2018-09-13,US1NYES0009,44.21543,-73.75098,0.0
2018-09-14,US1NYES0009,44.21543,-73.75098,0.0
2018-09-15,US1NYES0009,44.21543,-73.75098,0.0
2018-09-16,US1NYES0009,44.21543,-73.75098,0.3
2018-09-17,US1NYES0009,44.21543,-73.75098,9.1
2018-09-18,US1NYES0009,44.21543,-73.75098,0.0
2018-09-19,US1NYES0009,44.21543,-73.75098,0.0
2018-09-20,US1NYES0009,44.21543,-73.75098,0.0
2018-09-21,US1NYES0009,44.21543,-73.75098,8.9
2018-09-22,US1NYES0009,44.21543,-73.75098,6.6
2018-09-24,US1NYES0009,44.21543,-73.75098,0.0
2018-09-25,US1NYES0009,44.21543,-73.75098,0.0
2018-09-26,US1NYES0009,44.21543,-73.75098,6.9
2018-09-27,US1NYES0009,44.21543,-73.75098,26.7
2018-09-28,US1NYES0009,44.21543,-73.75098,6.4
2018-09-29,US1NYES0009,44.21543,-73.75098,0.0
2018-09-30,US1NYES0009,44.21543,-73.75098,0.0
2018-10-01,US1NYES0009,44.21543,-73.75098,5.6
2018-10-02,US1NYES0009,44.21543,-73.75098,11.7
2018-10-03,US1NYES0009,44.21543,-73.75098,15.7
2018-10-04,US1NYES0009,44.21543,-73.75098,0.3
2018-10-05,US1NYES0009,44.21543,-73.75098,0.5
2018-10-06,US1NYES0009,44.21543,-73.75098,0.0
2018-10-07,US1NYES0009,44.21543,-73.75098,4.1
2018-10-08,US1NYES0009,44.21543,-73.75098,0.5
2018-10-09,US1NYES0009,44.21543,-73.75098,0.5
2018-10-10,US1NYES0009,44.21543,-73.75098,0.0
2018-10-11,US1NYES0009,44.21543,-73.75098,6.6
2018-10-12,US1NYES0009,44.21543,-73.75098,14.7
2018-10-13,US1NYES0009,44.21543,-73.75098,1.8
2018-10-15,US1NYES0009,44.21543,-73.75098,0.0
2018-10-16,US1NYES0009,44.21543,-73.75098,4.1
2018-10-18,US1NYES0009,44.21543,-73.75098,
2018-10-19,US1NYES0009,44.21543,-73.75098,0.0
2018-10-21,US1NYES0009,44.21543,-73.75098,0.0
2018-10-22,US1NYES0009,44.21543,-73.75098,0.0
2018-10-23,US1NYES0009,44.21543,-73.75098,0.0
2018-10-24,US1NYES0009,44.21543,-73.75098,2.5
2018-10-25,US1NYES0009,44.21543,-73.75098,1.3
2018-10-26,US1NYES0009,44.21543,-73.75098,0.0
2018-10-27,US1NYES0009,44.21543,-73.75098,0.0
2018-10-28,US1NYES0009,44.21543,-73.75098,20.8
2018-10-29,US1NYES0009,44.21543,-73.75098,1.5
2018-10-30,US1NYES0009,44.21543,-73.75098,1.5
2018-10-31,US1NYES0009,44.21543,-73.75098,0.0
2018-11-01,US1NYES0009,44.21543,-73.75098,0.5
2018-11-02,US1NYES0009,44.21543,-73.75098,32.3
2018-11-03,US1NYES0009,44.21543,-73.75098,6.9
2018-11-08,US1NYES0009,44.21543,-73.75098,0.0
2018-11-09,US1NYES0009,44.21543,-73.75098,0.0
2018-11-10,US1NYES0009,44.21543,-73.75098,21.1
2018-11-11,US1NYES0009,44.21543,-73.75098,0.8
2018-11-12,US1NYES0009,44.21543,-73.75098,0.0
2018-11-13,US1NYES0009,44.21543,-73.75098,6.6
2018-11-14,US1NYES0009,44.21543,-73.75098,1.0
2018-11-15,US1NYES0009,44.21543,-73.75098,0.0
2018-11-16,US1NYES0009,44.21543,-73.75098,21.8
2018-11-18,US1NYES0009,44.21543,-73.75098,
2018-11-19,US1NYES0009,44.21543,-73.75098,0.0
2018-11-21,US1NYES0009,44.21543,-73.75098,1.5
2018-11-22,US1NYES0009,44.21543,-73.75098,1.8
2018-11-23,US1NYES0009,44.21543,-73.75098,0.0
2018-11-24,US1NYES0009,44.21543,-73.75098,0.0
2018-11-25,US1NYES0009,44.21543,-73.75098,5.3
2018-11-26,US1NYES0009,44.21543,-73.75098,0.5
2018-11-27,US1NYES0009,44.21543,-73.75098,27.9
2018-11-28,US1NYES0009,44.21543,-73.75098,9.1
2018-11-29,US1NYES0009,44.21543,-73.75098,2.5
2018-11-30,US1NYES0009,44.21543,-73.75098,0.8
2018-12-01,US1NYES0009,44.21543,-73.75098,0.0
2018-12-02,US1NYES0009,44.21543,-73.75098,4.3
2018-12-03,US1NYES0009,44.21543,-73.75098,3.8
2018-12-04,US1NYES0009,44.21543,-73.75098,1.8
2018-12-05,US1NYES0009,44.21543,-73.75098,0.0
2018-12-06,US1NYES0009,44.21543,-73.75098,1.0
2018-12-07,US1NYES0009,44.21543,-73.75098,1.3
2018-12-08,US1NYES0009,44.21543,-73.75098,0.0
2018-12-09,US1NYES0009,44.21543,-73.75098,0.3
2018-12-10,US1NYES0009,44.21543,-73.75098,0.0
2018-12-11,US1NYES0009,44.21543,-73.75098,0.0
2018-12-12,US1NYES0009,44.21543,-73.75098,0.5
2018-12-14,US1NYES0009,44.21543,-73.75098,0.0
2018-12-17,US1NYES0009,44.21543,-73.75098,0.3
2018-12-18,US1NYES0009,44.21543,-73.75098,1.0
2018-12-19,US1NYES0009,44.21543,-73.75098,0.0
2018-12-20,US1NYES0009,44.21543,-73.75098,0.0
2018-12-21,US1NYES0009,44.21543,-73.75098,18.8
2018-12-22,US1NYES0009,44.21543,-73.75098,25.9
2018-12-23,US1NYES0009,44.21543,-73.75098,0.0
2018-12-24,US1NYES0009,44.21543,-73.75098,0.0
2018-12-25,US1NYES0009,44.21543,-73.75098,3.3
2018-12-26,US1NYES0009,44.21543,-73.75098,0.0
2018-12-27,US1NYES0009,44.21543,-73.75098,0.8
2018-12-28,US1NYES0009,44.21543,-73.75098,7.4
2018-12-29,US1NYES0009,44.21543,-73.75098,1.0
2018-12-30,US1NYES0009,44.21543,-73.75098,0.0
2018-12-31,US1NYES0009,44.21543,-73.75098,0.0
2019-01-01,US1NYES0009,44.21543,-73.75098,13.2
2019-01-02,US1NYES0009,44.21543,-73.75098,1.0
2019-01-03,US1NYES0009,44.21543,-73.75098,3.0
2019-01-05,US1NYES0009,44.21543,-73.75098,0.0
2019-11-01,US1NYES0009,44.21543,-73.75098,90.4
2020-08-03,US1NYES0009,44.21543,-73.75098,26.7
2020-08-04,US1NYES0009,44.21543,-73.75098,4.1
2020-08-05,US1NYES0009,44.21543,-73.75098,86.9
2020-08-12,US1NYES0009,44.21543,-73.75098,2.0
2020-08-29,US1NYES0009,44.21543,-73.75098,7.4
2020-12-25,US1NYES0009,44.21543,-73.75098,74.4
2020-12-26,US1NYES0009,44.21543,-73.75098,12.4
2021-07-08,US1NYES0009,44.21543,-73.75098,3.3
2021-07-09,US1NYES0009,44.21543,-73.75098,23.9
2021-07-18,US1NYES0009,44.21543,-73.75098,46.5
2021-07-19,US1NYES0009,44.21543,-73.75098,26.9
2021-07-20,US1NYES0009,44.21543,-73.75098,7.9
2021-07-25,US1NYES0009,44.21543,-73.75098,6.4
2021-09-24,US1NYES0009,44.21543,-73.75098,53.6
2021-10-31,US1NYES0009,44.21543,-73.75098,31.2
2021-11-01,US1NYES0009,44.21543,-73.75098,19.3
2022-06-08,US1NYES0009,44.21543,-73.75098,32.8
2022-08-31,US1NYES0009,44.21543,-73.75098,37.1
2022-10-14,US1NYES0009,44.21543,-73.75098,42.2
2022-12-16,US1NYES0009,44.21543,-73.75098,16.0
2022-12-17,US1NYES0009,44.21543,-73.75098,40.4
2023-03-14,US1NYES0009,44.21543,-73.75098,
