DATE,STATION,LATITUDE,LONGITUDE,PRCP
1960-08-23,USC00300156,42.91667,-74.21667,
1960-08-24,USC00300156,42.91667,-74.21667,
1960-08-25,USC00300156,42.91667,-74.21667,
1960-08-26,USC00300156,42.91667,-74.21667,
1960-08-27,USC00300156,42.91667,-74.21667,
1960-08-28,USC00300156,42.91667,-74.21667,
1960-08-29,USC00300156,42.91667,-74.21667,
1960-08-30,USC00300156,42.91667,-74.21667,1.0
1960-08-31,USC00300156,42.91667,-74.21667,
1960-09-01,USC00300156,42.91667,-74.21667,0.0
1960-09-02,USC00300156,42.91667,-74.21667,0.0
1960-09-03,USC00300156,42.91667,-74.21667,0.0
1960-09-04,USC00300156,42.91667,-74.21667,0.0
1960-09-05,USC00300156,42.91667,-74.21667,0.0
1960-09-06,USC00300156,42.91667,-74.21667,0.0
1960-09-07,USC00300156,42.91667,-74.21667,0.0
1960-09-08,USC00300156,42.91667,-74.21667,0.0
1960-09-09,USC00300156,42.91667,-74.21667,0.0
1960-09-10,USC00300156,42.91667,-74.21667,13.7
1960-09-12,USC00300156,42.91667,-74.21667,76.2
1960-09-13,USC00300156,42.91667,-74.21667,17.8
1960-09-14,USC00300156,42.91667,-74.21667,3.0
1960-09-15,USC00300156,42.91667,-74.21667,0.0
1960-09-16,USC00300156,42.91667,-74.21667,0.0
1960-09-17,USC00300156,42.91667,-74.21667,0.0
1960-09-18,USC00300156,42.91667,-74.21667,1.0
1960-09-19,USC00300156,42.91667,-74.21667,0.0
1960-09-20,USC00300156,42.91667,-74.21667,18.3
1960-09-21,USC00300156,42.91667,-74.21667,0.0
1960-09-22,USC00300156,42.91667,-74.21667,0.0
1960-09-23,USC00300156,42.91667,-74.21667,0.0
1960-09-24,USC00300156,42.91667,-74.21667,0.0
1960-09-25,USC00300156,42.91667,-74.21667,0.0
1960-09-26,USC00300156,42.91667,-74.21667,0.0
1960-09-27,USC00300156,42.91667,-74.21667,0.0
1960-09-28,USC00300156,42.91667,-74.21667,0.0
1960-09-29,USC00300156,42.91667,-74.21667,0.0
1960-09-30,USC00300156,42.91667,-74.21667,3.3
1960-10-01,USC00300156,42.91667,-74.21667,9.1
1960-10-02,USC00300156,42.91667,-74.21667,7.6
1960-10-03,USC00300156,42.91667,-74.21667,0.5
1960-10-04,USC00300156,42.91667,-74.21667,0.8
1960-10-05,USC00300156,42.91667,-74.21667,0.0
1960-10-06,USC00300156,42.91667,-74.21667,5.1
1960-10-07,USC00300156,42.91667,-74.21667,0.0
1960-10-08,USC00300156,42.91667,-74.21667,0.0
1960-10-09,USC00300156,42.91667,-74.21667,0.0
1960-10-10,USC00300156,42.91667,-74.21667,0.0
1960-10-11,USC00300156,42.91667,-74.21667,0.0
1960-10-12,USC00300156,42.91667,-74.21667,0.0
1960-10-13,USC00300156,42.91667,-74.21667,0.0
1960-10-14,USC00300156,42.91667,-74.21667,0.0
1960-10-15,USC00300156,42.91667,-74.21667,0.0
1960-10-16,USC00300156,42.91667,-74.21667,3.8
1960-10-17,USC00300156,42.91667,-74.21667,0.0
1960-10-18,USC00300156,42.91667,-74.21667,0.0
1960-10-19,USC00300156,42.91667,-74.21667,8.4
1960-10-20,USC00300156,42.91667,-74.21667,20.8
1960-10-21,USC00300156,42.91667,-74.21667,1.3
1960-10-22,USC00300156,42.91667,-74.21667,0.0
1960-10-23,USC00300156,42.91667,-74.21667,5.1
1960-10-24,USC00300156,42.91667,-74.21667,7.4
1960-10-25,USC00300156,42.91667,-74.21667,2.5
1960-10-26,USC00300156,42.91667,-74.21667,0.0
1960-10-27,USC00300156,42.91667,-74.21667,0.0
1960-10-28,USC00300156,42.91667,-74.21667,0.0
1960-10-29,USC00300156,42.91667,-74.21667,0.0
1960-10-30,USC00300156,42.91667,-74.21667,0.0
1960-10-31,USC00300156,42.91667,-74.21667,0.0
1960-11-01,USC00300156,42.91667,-74.21667,9.1
1960-11-02,USC00300156,42.91667,-74.21667,0.0
1960-11-03,USC00300156,42.91667,-74.21667,0.0
1960-11-04,USC00300156,42.91667,-74.21667,0.0
1960-11-05,USC00300156,42.91667,-74.21667,0.0
1960-11-06,USC00300156,42.91667,-74.21667,0.0
1960-11-07,USC00300156,42.91667,-74.21667,0.0
1960-11-08,USC00300156,42.91667,-74.21667,0.0
1960-11-09,USC00300156,42.91667,-74.21667,0.0
1960-11-10,USC00300156,42.91667,-74.21667,17.0
1960-11-11,USC00300156,42.91667,-74.21667,0.3
1960-11-12,USC00300156,42.91667,-74.21667,0.0
1960-11-13,USC00300156,42.91667,-74.21667,0.0
1960-11-14,USC00300156,42.91667,-74.21667,0.0
1960-11-15,USC00300156,42.91667,-74.21667,1.5
1960-11-16,USC00300156,42.91667,-74.21667,0.0
1960-11-17,USC00300156,42.91667,-74.21667,1.5
1960-11-18,USC00300156,42.91667,-74.21667,0.0
1960-11-19,USC00300156,42.91667,-74.21667,0.0
1960-11-20,USC00300156,42.91667,-74.21667,0.0
1960-11-21,USC00300156,42.91667,-74.21667,0.0
1960-11-22,USC00300156,42.91667,-74.21667,0.0
1960-11-23,USC00300156,42.91667,-74.21667,2.0
1960-11-24,USC00300156,42.91667,-74.21667,0.0
1960-11-25,USC00300156,42.91667,-74.21667,0.0
1960-11-26,USC00300156,42.91667,-74.21667,0.0
1960-11-27,USC00300156,42.91667,-74.21667,0.0
1960-11-28,USC00300156,42.91667,-74.21667,0.0
1960-11-29,USC00300156,42.91667,-74.21667,0.0
1960-11-30,USC00300156,42.91667,-74.21667,0.0
1960-12-01,USC00300156,42.91667,-74.21667,0.0
1960-12-02,USC00300156,42.91667,-74.21667,0.0
1960-12-03,USC00300156,42.91667,-74.21667,0.0
1960-12-04,USC00300156,42.91667,-74.21667,1.3
1960-12-05,USC00300156,42.91667,-74.21667,0.0
1960-12-06,USC00300156,42.91667,-74.21667,0.0
1960-12-07,USC00300156,42.91667,-74.21667,0.0
1960-12-08,USC00300156,42.91667,-74.21667,0.0
1960-12-09,USC00300156,42.91667,-74.21667,0.0
1960-12-10,USC00300156,42.91667,-74.21667,0.0
1960-12-11,USC00300156,42.91667,-74.21667,0.0
1960-12-12,USC00300156,42.91667,-74.21667,0.3
1960-12-13,USC00300156,42.91667,-74.21667,0.0
1960-12-14,USC00300156,42.91667,-74.21667,0.0
1960-12-15,USC00300156,42.91667,-74.21667,0.0
1960-12-16,USC00300156,42.91667,-74.21667,0.0
1960-12-17,USC00300156,42.91667,-74.21667,0.0
1960-12-18,USC00300156,42.91667,-74.21667,0.0
1960-12-19,USC00300156,42.91667,-74.21667,0.0
1960-12-20,USC00300156,42.91667,-74.21667,0.0
1960-12-21,USC00300156,42.91667,-74.21667,7.6
1960-12-22,USC00300156,42.91667,-74.21667,0.0
1960-12-23,USC00300156,42.91667,-74.21667,0.0
1960-12-24,USC00300156,42.91667,-74.21667,0.0
1960-12-25,USC00300156,42.91667,-74.21667,0.0
1960-12-26,USC00300156,42.91667,-74.21667,0.0
1960-12-27,USC00300156,42.91667,-74.21667,0.0
1960-12-28,USC00300156,42.91667,-74.21667,0.0
1960-12-29,USC00300156,42.91667,-74.21667,6.9
1960-12-30,USC00300156,42.91667,-74.21667,0.0
1960-12-31,USC00300156,42.91667,-74.21667,0.0
1961-01-01,USC00300156,42.91667,-74.21667,11.7
1961-01-02,USC00300156,42.91667,-74.21667,0.0
1961-01-03,USC00300156,42.91667,-74.21667,0.0
1961-01-04,USC00300156,42.91667,-74.21667,0.0
1961-01-05,USC00300156,42.91667,-74.21667,0.0
1961-01-06,USC00300156,42.91667,-74.21667,1.8
1961-01-07,USC00300156,42.91667,-74.21667,0.0
1961-01-08,USC00300156,42.91667,-74.21667,0.0
1961-01-09,USC00300156,42.91667,-74.21667,0.0
1961-01-10,USC00300156,42.91667,-74.21667,0.0
1961-01-11,USC00300156,42.91667,-74.21667,0.0
1961-01-12,USC00300156,42.91667,-74.21667,0.0
1961-01-13,USC00300156,42.91667,-74.21667,0.0
1961-01-14,USC00300156,42.91667,-74.21667,0.0
1961-01-15,USC00300156,42.91667,-74.21667,0.0
1961-01-16,USC00300156,42.91667,-74.21667,0.3
1961-01-17,USC00300156,42.91667,-74.21667,0.0
1961-01-18,USC00300156,42.91667,-74.21667,0.0
1961-01-19,USC00300156,42.91667,-74.21667,0.0
1961-01-20,USC00300156,42.91667,-74.21667,11.4
1961-01-21,USC00300156,42.91667,-74.21667,0.0
1961-01-22,USC00300156,42.91667,-74.21667,0.0
1961-01-23,USC00300156,42.91667,-74.21667,0.0
1961-01-24,USC00300156,42.91667,-74.21667,0.0
1961-01-25,USC00300156,42.91667,-74.21667,0.0
1961-01-26,USC00300156,42.91667,-74.21667,0.0
1961-01-27,USC00300156,42.91667,-74.21667,2.0
1961-01-28,USC00300156,42.91667,-74.21667,0.0
1961-01-29,USC00300156,42.91667,-74.21667,0.0
1961-01-30,USC00300156,42.91667,-74.21667,0.0
1961-01-31,USC00300156,42.91667,-74.21667,0.0
1961-02-01,USC00300156,42.91667,-74.21667,0.0
1961-02-02,USC00300156,42.91667,-74.21667,0.0
1961-02-03,USC00300156,42.91667,-74.21667,0.0
1961-02-04,USC00300156,42.91667,-74.21667,18.5
1961-02-05,USC00300156,42.91667,-74.21667,0.0
1961-02-06,USC00300156,42.91667,-74.21667,0.0
1961-02-07,USC00300156,42.91667,-74.21667,0.0
1961-02-08,USC00300156,42.91667,-74.21667,0.0
1961-02-09,USC00300156,42.91667,-74.21667,0.0
1961-02-10,USC00300156,42.91667,-74.21667,0.0
1961-02-11,USC00300156,42.91667,-74.21667,0.0
1961-02-12,USC00300156,42.91667,-74.21667,0.0
1961-02-13,USC00300156,42.91667,-74.21667,0.0
1961-02-14,USC00300156,42.91667,-74.21667,0.5
1961-02-15,USC00300156,42.91667,-74.21667,0.0
1961-02-16,USC00300156,42.91667,-74.21667,0.0
1961-02-17,USC00300156,42.91667,-74.21667,0.5
1961-02-18,USC00300156,42.91667,-74.21667,0.0
1961-02-19,USC00300156,42.91667,-74.21667,7.6
1961-02-20,USC00300156,42.91667,-74.21667,0.0
1961-02-21,USC00300156,42.91667,-74.21667,0.0
1961-02-22,USC00300156,42.91667,-74.21667,0.0
1961-02-23,USC00300156,42.91667,-74.21667,15.2
1961-02-24,USC00300156,42.91667,-74.21667,0.0
1961-02-25,USC00300156,42.91667,-74.21667,15.2
1961-02-26,USC00300156,42.91667,-74.21667,26.7
1961-02-27,USC00300156,42.91667,-74.21667,0.0
1961-02-28,USC00300156,42.91667,-74.21667,0.0
1961-03-01,USC00300156,42.91667,-74.21667,0.0
1961-03-02,USC00300156,42.91667,-74.21667,0.0
1961-03-03,USC00300156,42.91667,-74.21667,0.0
1961-03-04,USC00300156,42.91667,-74.21667,0.0
1961-03-05,USC00300156,42.91667,-74.21667,5.1
1961-03-06,USC00300156,42.91667,-74.21667,11.4
1961-03-07,USC00300156,42.91667,-74.21667,0.0
1961-03-08,USC00300156,42.91667,-74.21667,0.0
1961-03-09,USC00300156,42.91667,-74.21667,20.8
1961-03-10,USC00300156,42.91667,-74.21667,0.0
1961-03-11,USC00300156,42.91667,-74.21667,0.0
1961-03-12,USC00300156,42.91667,-74.21667,0.0
1961-03-13,USC00300156,42.91667,-74.21667,0.0
1961-03-14,USC00300156,42.91667,-74.21667,19.1
1961-03-15,USC00300156,42.91667,-74.21667,0.0
1961-03-16,USC00300156,42.91667,-74.21667,0.0
1961-03-17,USC00300156,42.91667,-74.21667,0.0
1961-03-18,USC00300156,42.91667,-74.21667,0.0
1961-03-19,USC00300156,42.91667,-74.21667,2.5
1961-03-20,USC00300156,42.91667,-74.21667,0.0
1961-03-21,USC00300156,42.91667,-74.21667,0.0
1961-03-22,USC00300156,42.91667,-74.21667,0.0
1961-03-23,USC00300156,42.91667,-74.21667,0.3
1961-03-24,USC00300156,42.91667,-74.21667,1.3
1961-03-25,USC00300156,42.91667,-74.21667,0.0
1961-03-26,USC00300156,42.91667,-74.21667,0.0
1961-03-27,USC00300156,42.91667,-74.21667,0.0
1961-03-28,USC00300156,42.91667,-74.21667,0.0
1961-03-29,USC00300156,42.91667,-74.21667,0.0
1961-03-30,USC00300156,42.91667,-74.21667,0.0
1961-03-31,USC00300156,42.91667,-74.21667,0.0
1961-04-01,USC00300156,42.91667,-74.21667,5.1
1961-04-02,USC00300156,42.91667,-74.21667,0.0
1961-04-03,USC00300156,42.91667,-74.21667,0.0
1961-04-04,USC00300156,42.91667,-74.21667,0.0
1961-04-05,USC00300156,42.91667,-74.21667,0.0
1961-04-06,USC00300156,42.91667,-74.21667,0.0
1961-04-07,USC00300156,42.91667,-74.21667,0.0
1961-04-08,USC00300156,42.91667,-74.21667,0.0
1961-04-09,USC00300156,42.91667,-74.21667,0.0
1961-04-10,USC00300156,42.91667,-74.21667,20.3
1961-04-11,USC00300156,42.91667,-74.21667,0.0
1961-04-12,USC00300156,42.91667,-74.21667,0.0
1961-04-13,USC00300156,42.91667,-74.21667,2.5
1961-04-14,USC00300156,42.91667,-74.21667,0.0
1961-04-15,USC00300156,42.91667,-74.21667,8.9
1961-04-16,USC00300156,42.91667,-74.21667,0.0
1961-04-17,USC00300156,42.91667,-74.21667,6.1
1961-04-18,USC00300156,42.91667,-74.21667,4.6
1961-04-19,USC00300156,42.91667,-74.21667,0.0
1961-04-20,USC00300156,42.91667,-74.21667,0.0
1961-04-21,USC00300156,42.91667,-74.21667,0.0
1961-04-22,USC00300156,42.91667,-74.21667,0.0
1961-04-23,USC00300156,42.91667,-74.21667,1.3
1961-04-24,USC00300156,42.91667,-74.21667,0.0
1961-04-25,USC00300156,42.91667,-74.21667,6.4
1961-04-26,USC00300156,42.91667,-74.21667,5.1
1961-04-27,USC00300156,42.91667,-74.21667,0.3
1961-04-28,USC00300156,42.91667,-74.21667,0.0
1961-04-29,USC00300156,42.91667,-74.21667,0.0
1961-04-30,USC00300156,42.91667,-74.21667,0.0
1961-05-01,USC00300156,42.91667,-74.21667,0.8
1961-05-02,USC00300156,42.91667,-74.21667,13.2
1961-05-03,USC00300156,42.91667,-74.21667,2.0
1961-05-04,USC00300156,42.91667,-74.21667,0.5
1961-05-05,USC00300156,42.91667,-74.21667,0.0
1961-05-06,USC00300156,42.91667,-74.21667,0.0
1961-05-07,USC00300156,42.91667,-74.21667,13.5
1961-05-08,USC00300156,42.91667,-74.21667,0.0
1961-05-09,USC00300156,42.91667,-74.21667,0.0
1961-05-10,USC00300156,42.91667,-74.21667,0.0
1961-05-11,USC00300156,42.91667,-74.21667,0.0
1961-05-12,USC00300156,42.91667,-74.21667,14.0
1961-05-13,USC00300156,42.91667,-74.21667,0.0
1961-05-14,USC00300156,42.91667,-74.21667,0.0
1961-05-15,USC00300156,42.91667,-74.21667,0.0
1961-05-16,USC00300156,42.91667,-74.21667,4.1
1961-05-17,USC00300156,42.91667,-74.21667,0.0
1961-05-18,USC00300156,42.91667,-74.21667,0.0
1961-05-19,USC00300156,42.91667,-74.21667,0.0
1961-05-20,USC00300156,42.91667,-74.21667,0.0
1961-05-21,USC00300156,42.91667,-74.21667,0.8
1961-05-22,USC00300156,42.91667,-74.21667,6.6
1961-05-23,USC00300156,42.91667,-74.21667,1.3
1961-05-24,USC00300156,42.91667,-74.21667,0.0
1961-05-25,USC00300156,42.91667,-74.21667,0.0
1961-05-26,USC00300156,42.91667,-74.21667,0.0
1961-05-27,USC00300156,42.91667,-74.21667,16.0
1961-05-28,USC00300156,42.91667,-74.21667,2.5
1961-05-29,USC00300156,42.91667,-74.21667,3.8
1961-05-30,USC00300156,42.91667,-74.21667,0.0
1961-05-31,USC00300156,42.91667,-74.21667,0.0
1961-06-01,USC00300156,42.91667,-74.21667,0.0
1961-06-02,USC00300156,42.91667,-74.21667,8.9
1961-06-03,USC00300156,42.91667,-74.21667,0.0
1961-06-04,USC00300156,42.91667,-74.21667,0.0
1961-06-05,USC00300156,42.91667,-74.21667,0.0
1961-06-06,USC00300156,42.91667,-74.21667,0.0
1961-06-07,USC00300156,42.91667,-74.21667,0.0
1961-06-08,USC00300156,42.91667,-74.21667,26.2
1961-06-09,USC00300156,42.91667,-74.21667,8.6
1961-06-10,USC00300156,42.91667,-74.21667,6.9
1961-06-11,USC00300156,42.91667,-74.21667,0.0
1961-06-12,USC00300156,42.91667,-74.21667,0.0
1961-06-13,USC00300156,42.91667,-74.21667,0.0
1961-06-14,USC00300156,42.91667,-74.21667,19.8
1961-06-15,USC00300156,42.91667,-74.21667,0.0
1961-06-16,USC00300156,42.91667,-74.21667,0.0
1961-06-17,USC00300156,42.91667,-74.21667,0.0
1961-06-18,USC00300156,42.91667,-74.21667,0.0
1961-06-19,USC00300156,42.91667,-74.21667,0.0
1961-06-20,USC00300156,42.91667,-74.21667,0.0
1961-06-21,USC00300156,42.91667,-74.21667,12.7
1961-06-22,USC00300156,42.91667,-74.21667,0.0
1961-06-23,USC00300156,42.91667,-74.21667,0.0
1961-06-24,USC00300156,42.91667,-74.21667,10.2
1961-06-25,USC00300156,42.91667,-74.21667,0.0
1961-06-26,USC00300156,42.91667,-74.21667,6.4
1961-06-27,USC00300156,42.91667,-74.21667,0.0
1961-06-28,USC00300156,42.91667,-74.21667,0.0
1961-06-29,USC00300156,42.91667,-74.21667,0.0
1961-06-30,USC00300156,42.91667,-74.21667,0.0
1961-07-01,USC00300156,42.91667,-74.21667,0.0
1961-07-02,USC00300156,42.91667,-74.21667,8.1
1961-07-03,USC00300156,42.91667,-74.21667,0.0
1961-07-04,USC00300156,42.91667,-74.21667,0.0
1961-07-05,USC00300156,42.91667,-74.21667,0.0
1961-07-06,USC00300156,42.91667,-74.21667,0.0
1961-07-07,USC00300156,42.91667,-74.21667,0.0
1961-07-08,USC00300156,42.91667,-74.21667,29.2
1961-07-09,USC00300156,42.91667,-74.21667,0.3
1961-07-10,USC00300156,42.91667,-74.21667,0.0
1961-07-11,USC00300156,42.91667,-74.21667,0.0
1961-07-12,USC00300156,42.91667,-74.21667,3.8
1961-07-13,USC00300156,42.91667,-74.21667,0.0
1961-07-14,USC00300156,42.91667,-74.21667,48.8
1961-07-15,USC00300156,42.91667,-74.21667,0.3
1961-07-16,USC00300156,42.91667,-74.21667,6.6
1961-07-17,USC00300156,42.91667,-74.21667,0.0
1961-07-18,USC00300156,42.91667,-74.21667,0.8
1961-07-19,USC00300156,42.91667,-74.21667,0.0
1961-07-20,USC00300156,42.91667,-74.21667,0.0
1961-07-21,USC00300156,42.91667,-74.21667,0.0
1961-07-22,USC00300156,42.91667,-74.21667,0.0
1961-07-23,USC00300156,42.91667,-74.21667,0.0
1961-07-24,USC00300156,42.91667,-74.21667,0.0
1961-07-25,USC00300156,42.91667,-74.21667,0.0
1961-07-26,USC00300156,42.91667,-74.21667,0.0
1961-07-27,USC00300156,42.91667,-74.21667,0.0
1961-07-28,USC00300156,42.91667,-74.21667,0.0
1961-07-29,USC00300156,42.91667,-74.21667,0.0
1961-07-30,USC00300156,42.91667,-74.21667,0.0
1961-07-31,USC00300156,42.91667,-74.21667,9.9
1961-08-01,USC00300156,42.91667,-74.21667,4.8
1961-08-02,USC00300156,42.91667,-74.21667,5.1
1961-08-03,USC00300156,42.91667,-74.21667,1.8
1961-08-04,USC00300156,42.91667,-74.21667,0.0
1961-08-05,USC00300156,42.91667,-74.21667,0.3
1961-08-06,USC00300156,42.91667,-74.21667,0.0
1961-08-07,USC00300156,42.91667,-74.21667,0.0
1961-08-08,USC00300156,42.91667,-74.21667,0.0
1961-08-09,USC00300156,42.91667,-74.21667,0.0
1961-08-10,USC00300156,42.91667,-74.21667,0.0
1961-08-11,USC00300156,42.91667,-74.21667,17.0
1961-08-12,USC00300156,42.91667,-74.21667,0.0
1961-08-13,USC00300156,42.91667,-74.21667,0.0
1961-08-14,USC00300156,42.91667,-74.21667,0.0
1961-08-15,USC00300156,42.91667,-74.21667,0.0
1961-08-16,USC00300156,42.91667,-74.21667,0.0
1961-08-17,USC00300156,42.91667,-74.21667,0.0
1961-08-18,USC00300156,42.91667,-74.21667,0.0
1961-08-19,USC00300156,42.91667,-74.21667,0.0
1961-08-20,USC00300156,42.91667,-74.21667,0.0
1961-08-21,USC00300156,42.91667,-74.21667,13.2
1961-08-22,USC00300156,42.91667,-74.21667,5.6
1961-08-23,USC00300156,42.91667,-74.21667,0.0
1961-08-24,USC00300156,42.91667,-74.21667,0.0
1961-08-25,USC00300156,42.91667,-74.21667,0.0
1961-08-26,USC00300156,42.91667,-74.21667,20.3
1961-08-27,USC00300156,42.91667,-74.21667,1.8
1961-08-28,USC00300156,42.91667,-74.21667,0.0
1961-08-29,USC00300156,42.91667,-74.21667,0.0
1961-08-30,USC00300156,42.91667,-74.21667,0.0
1961-08-31,USC00300156,42.91667,-74.21667,5.1
1961-09-01,USC00300156,42.91667,-74.21667,0.0
1961-09-02,USC00300156,42.91667,-74.21667,1.5
1961-09-03,USC00300156,42.91667,-74.21667,0.0
1961-09-04,USC00300156,42.91667,-74.21667,0.0
1961-09-05,USC00300156,42.91667,-74.21667,0.0
1961-09-06,USC00300156,42.91667,-74.21667,0.0
1961-09-07,USC00300156,42.91667,-74.21667,0.0
1961-09-08,USC00300156,42.91667,-74.21667,0.0
1961-09-09,USC00300156,42.91667,-74.21667,0.0
1961-09-10,USC00300156,42.91667,-74.21667,0.0
1961-09-11,USC00300156,42.91667,-74.21667,0.0
1961-09-12,USC00300156,42.91667,-74.21667,0.0
1961-09-13,USC00300156,42.91667,-74.21667,0.0
1961-09-14,USC00300156,42.91667,-74.21667,0.0
1961-09-15,USC00300156,42.91667,-74.21667,0.0
1961-09-16,USC00300156,42.91667,-74.21667,0.0
1961-09-17,USC00300156,42.91667,-74.21667,0.0
1961-09-18,USC00300156,42.91667,-74.21667,0.0
1961-09-19,USC00300156,42.91667,-74.21667,0.0
1961-09-20,USC00300156,42.91667,-74.21667,0.0
1961-09-21,USC00300156,42.91667,-74.21667,13.5
1961-09-22,USC00300156,42.91667,-74.21667,0.0
1961-09-23,USC00300156,42.91667,-74.21667,0.0
1961-09-24,USC00300156,42.91667,-74.21667,0.0
1961-09-25,USC00300156,42.91667,-74.21667,0.0
1961-09-26,USC00300156,42.91667,-74.21667,0.0
1961-09-27,USC00300156,42.91667,-74.21667,0.0
1961-09-28,USC00300156,42.91667,-74.21667,0.0
1961-09-29,USC00300156,42.91667,-74.21667,0.0
1961-09-30,USC00300156,42.91667,-74.21667,0.0
1961-10-01,USC00300156,42.91667,-74.21667,0.0
1961-10-02,USC00300156,42.91667,-74.21667,0.0
1961-10-03,USC00300156,42.91667,-74.21667,3.6
1961-10-04,USC00300156,42.91667,-74.21667,15.7
1961-10-05,USC00300156,42.91667,-74.21667,0.0
1961-10-06,USC00300156,42.91667,-74.21667,0.0
1961-10-07,USC00300156,42.91667,-74.21667,0.0
1961-10-08,USC00300156,42.91667,-74.21667,0.0
1961-10-09,USC00300156,42.91667,-74.21667,0.0
1961-10-10,USC00300156,42.91667,-74.21667,0.0
1961-10-11,USC00300156,42.91667,-74.21667,0.0
1961-10-12,USC00300156,42.91667,-74.21667,0.0
1961-10-13,USC00300156,42.91667,-74.21667,0.0
1961-10-14,USC00300156,42.91667,-74.21667,0.0
1961-10-15,USC00300156,42.91667,-74.21667,3.8
1961-10-16,USC00300156,42.91667,-74.21667,0.0
1961-10-17,USC00300156,42.91667,-74.21667,0.0
1961-10-18,USC00300156,42.91667,-74.21667,0.0
1961-10-19,USC00300156,42.91667,-74.21667,0.0
1961-10-20,USC00300156,42.91667,-74.21667,0.0
1961-10-21,USC00300156,42.91667,-74.21667,0.0
1961-10-22,USC00300156,42.91667,-74.21667,0.0
1961-10-23,USC00300156,42.91667,-74.21667,0.0
1961-10-24,USC00300156,42.91667,-74.21667,0.0
1961-10-25,USC00300156,42.91667,-74.21667,0.0
1961-10-26,USC00300156,42.91667,-74.21667,7.6
1961-10-27,USC00300156,42.91667,-74.21667,0.0
1961-10-28,USC00300156,42.91667,-74.21667,0.0
1961-10-29,USC00300156,42.91667,-74.21667,0.0
1961-10-30,USC00300156,42.91667,-74.21667,6.1
1961-10-31,USC00300156,42.91667,-74.21667,0.0
1961-11-01,USC00300156,42.91667,-74.21667,3.0
1961-11-02,USC00300156,42.91667,-74.21667,0.0
1961-11-03,USC00300156,42.91667,-74.21667,0.0
1961-11-04,USC00300156,42.91667,-74.21667,3.0
1961-11-05,USC00300156,42.91667,-74.21667,16.5
1961-11-06,USC00300156,42.91667,-74.21667,2.5
1961-11-07,USC00300156,42.91667,-74.21667,5.1
1961-11-08,USC00300156,42.91667,-74.21667,0.0
1961-11-09,USC00300156,42.91667,-74.21667,0.0
1961-11-10,USC00300156,42.91667,-74.21667,0.0
1961-11-11,USC00300156,42.91667,-74.21667,0.0
1961-11-12,USC00300156,42.91667,-74.21667,0.0
1961-11-13,USC00300156,42.91667,-74.21667,0.0
1961-11-14,USC00300156,42.91667,-74.21667,8.4
1961-11-15,USC00300156,42.91667,-74.21667,2.5
1961-11-16,USC00300156,42.91667,-74.21667,0.0
1961-11-17,USC00300156,42.91667,-74.21667,8.9
1961-11-18,USC00300156,42.91667,-74.21667,0.0
1961-11-19,USC00300156,42.91667,-74.21667,0.0
1961-11-20,USC00300156,42.91667,-74.21667,3.8
1961-11-21,USC00300156,42.91667,-74.21667,0.0
1961-11-22,USC00300156,42.91667,-74.21667,0.0
1961-11-23,USC00300156,42.91667,-74.21667,0.0
1961-11-24,USC00300156,42.91667,-74.21667,7.4
1961-11-25,USC00300156,42.91667,-74.21667,0.0
1961-11-26,USC00300156,42.91667,-74.21667,0.0
1961-11-27,USC00300156,42.91667,-74.21667,0.0
1961-11-28,USC00300156,42.91667,-74.21667,0.0
1961-11-29,USC00300156,42.91667,-74.21667,3.8
1961-11-30,USC00300156,42.91667,-74.21667,0.0
1961-12-01,USC00300156,42.91667,-74.21667,0.0
1961-12-02,USC00300156,42.91667,-74.21667,0.0
1961-12-03,USC00300156,42.91667,-74.21667,0.0
1961-12-04,USC00300156,42.91667,-74.21667,0.0
1961-12-05,USC00300156,42.91667,-74.21667,9.4
1961-12-06,USC00300156,42.91667,-74.21667,0.0
1961-12-07,USC00300156,42.91667,-74.21667,2.0
1961-12-08,USC00300156,42.91667,-74.21667,0.0
1961-12-09,USC00300156,42.91667,-74.21667,0.0
1961-12-10,USC00300156,42.91667,-74.21667,2.5
1961-12-11,USC00300156,42.91667,-74.21667,3.0
1961-12-12,USC00300156,42.91667,-74.21667,4.8
1961-12-13,USC00300156,42.91667,-74.21667,0.0
1961-12-14,USC00300156,42.91667,-74.21667,0.0
1961-12-15,USC00300156,42.91667,-74.21667,0.0
1961-12-16,USC00300156,42.91667,-74.21667,0.0
1961-12-17,USC00300156,42.91667,-74.21667,9.9
1961-12-18,USC00300156,42.91667,-74.21667,7.6
1961-12-19,USC00300156,42.91667,-74.21667,5.6
1961-12-20,USC00300156,42.91667,-74.21667,9.7
1961-12-21,USC00300156,42.91667,-74.21667,0.0
1961-12-22,USC00300156,42.91667,-74.21667,0.0
1961-12-23,USC00300156,42.91667,-74.21667,0.0
1961-12-24,USC00300156,42.91667,-74.21667,8.1
1961-12-25,USC00300156,42.91667,-74.21667,15.2
1961-12-26,USC00300156,42.91667,-74.21667,0.0
1961-12-27,USC00300156,42.91667,-74.21667,0.0
1961-12-28,USC00300156,42.91667,-74.21667,10.9
1961-12-29,USC00300156,42.91667,-74.21667,0.0
1961-12-30,USC00300156,42.91667,-74.21667,0.0
1961-12-31,USC00300156,42.91667,-74.21667,0.0
1962-01-01,USC00300156,42.91667,-74.21667,0.0
1962-01-02,USC00300156,42.91667,-74.21667,0.0
1962-01-03,USC00300156,42.91667,-74.21667,0.0
1962-01-04,USC00300156,42.91667,-74.21667,0.0
