DATE,STATION,LATITUDE,LONGITUDE,PRCP
2011-05-10,USC00434115,44.7925,-72.2934,0.0
2011-05-11,USC00434115,44.7925,-72.2934,0.0
2011-05-12,USC00434115,44.7925,-72.2934,0.0
2011-05-13,USC00434115,44.7925,-72.2934,0.0
2011-05-14,USC00434115,44.7925,-72.2934,0.0
2011-05-15,USC00434115,44.7925,-72.2934,26.4
2011-05-16,USC00434115,44.7925,-72.2934,21.1
2011-05-17,USC00434115,44.7925,-72.2934,8.9
2011-05-18,USC00434115,44.7925,-72.2934,0.8
2011-05-19,USC00434115,44.7925,-72.2934,0.0
2011-05-20,USC00434115,44.7925,-72.2934,2.0
2011-05-21,USC00434115,44.7925,-72.2934,28.7
2011-05-22,USC00434115,44.7925,-72.2934,0.8
2011-05-23,USC00434115,44.7925,-72.2934,0.8
2011-05-24,USC00434115,44.7925,-72.2934,2.3
2011-05-25,USC00434115,44.7925,-72.2934,0.0
2011-05-26,USC00434115,44.7925,-72.2934,0.0
2011-05-27,USC00434115,44.7925,-72.2934,20.6
2011-05-28,USC00434115,44.7925,-72.2934,31.8
2011-05-29,USC00434115,44.7925,-72.2934,10.2
2011-05-30,USC00434115,44.7925,-72.2934,3.8
2011-05-31,USC00434115,44.7925,-72.2934,0.0
2011-06-01,USC00434115,44.7925,-72.2934,1.8
2011-06-02,USC00434115,44.7925,-72.2934,1.3
2011-06-03,USC00434115,44.7925,-72.2934,0.0
2011-06-04,USC00434115,44.7925,-72.2934,0.0
2011-06-05,USC00434115,44.7925,-72.2934,0.0
2011-06-06,USC00434115,44.7925,-72.2934,0.0
2011-06-07,USC00434115,44.7925,-72.2934,0.0
2011-06-08,USC00434115,44.7925,-72.2934,0.0
2011-06-09,USC00434115,44.7925,-72.2934,6.1
2011-06-10,USC00434115,44.7925,-72.2934,2.5
2011-06-11,USC00434115,44.7925,-72.2934,0.0
2011-06-12,USC00434115,44.7925,-72.2934,10.7
2011-06-13,USC00434115,44.7925,-72.2934,6.1
2011-06-14,USC00434115,44.7925,-72.2934,9.7
2011-06-15,USC00434115,44.7925,-72.2934,0.5
2011-06-16,USC00434115,44.7925,-72.2934,0.0
2011-06-17,USC00434115,44.7925,-72.2934,0.0
2011-06-18,USC00434115,44.7925,-72.2934,20.8
2011-06-19,USC00434115,44.7925,-72.2934,0.0
2011-06-20,USC00434115,44.7925,-72.2934,0.0
2011-06-21,USC00434115,44.7925,-72.2934,0.0
2011-06-22,USC00434115,44.7925,-72.2934,0.0
2011-06-23,USC00434115,44.7925,-72.2934,2.0
2011-06-24,USC00434115,44.7925,-72.2934,26.4
2011-06-25,USC00434115,44.7925,-72.2934,3.8
2011-06-26,USC00434115,44.7925,-72.2934,16.5
2011-06-27,USC00434115,44.7925,-72.2934,1.3
2011-06-28,USC00434115,44.7925,-72.2934,0.0
2011-06-29,USC00434115,44.7925,-72.2934,0.0
2011-06-30,USC00434115,44.7925,-72.2934,2.3
2011-07-01,USC00434115,44.7925,-72.2934,1.0
2011-07-02,USC00434115,44.7925,-72.2934,0.0
2011-07-03,USC00434115,44.7925,-72.2934,0.0
2011-07-04,USC00434115,44.7925,-72.2934,8.4
2011-07-05,USC00434115,44.7925,-72.2934,0.0
2011-07-06,USC00434115,44.7925,-72.2934,0.0
2011-07-07,USC00434115,44.7925,-72.2934,11.7
2011-07-08,USC00434115,44.7925,-72.2934,0.0
2011-07-09,USC00434115,44.7925,-72.2934,2.0
2011-07-10,USC00434115,44.7925,-72.2934,
2011-07-11,USC00434115,44.7925,-72.2934,
2011-07-12,USC00434115,44.7925,-72.2934,
2011-07-13,USC00434115,44.7925,-72.2934,
2011-07-14,USC00434115,44.7925,-72.2934,
2011-07-15,USC00434115,44.7925,-72.2934,
2011-07-16,USC00434115,44.7925,-72.2934,
2011-07-17,USC00434115,44.7925,-72.2934,4.6
2011-07-18,USC00434115,44.7925,-72.2934,3.0
2011-07-19,USC00434115,44.7925,-72.2934,0.0
2011-07-20,USC00434115,44.7925,-72.2934,0.0
2011-07-21,USC00434115,44.7925,-72.2934,0.0
2011-07-22,USC00434115,44.7925,-72.2934,14.0
2011-07-23,USC00434115,44.7925,-72.2934,
2011-07-24,USC00434115,44.7925,-72.2934,0.0
2011-07-25,USC00434115,44.7925,-72.2934,0.0
2011-07-26,USC00434115,44.7925,-72.2934,1.3
2011-07-27,USC00434115,44.7925,-72.2934,6.4
2011-07-28,USC00434115,44.7925,-72.2934,0.8
2011-07-29,USC00434115,44.7925,-72.2934,0.0
2011-07-30,USC00434115,44.7925,-72.2934,10.2
2011-07-31,USC00434115,44.7925,-72.2934,0.0
2011-08-01,USC00434115,44.7925,-72.2934,0.0
2011-08-02,USC00434115,44.7925,-72.2934,
2011-08-03,USC00434115,44.7925,-72.2934,
2011-08-04,USC00434115,44.7925,-72.2934,
2011-08-05,USC00434115,44.7925,-72.2934,
2011-08-06,USC00434115,44.7925,-72.2934,
2011-08-07,USC00434115,44.7925,-72.2934,0.5
2011-08-08,USC00434115,44.7925,-72.2934,5.3
2011-08-09,USC00434115,44.7925,-72.2934,0.5
2011-08-10,USC00434115,44.7925,-72.2934,18.0
2011-08-11,USC00434115,44.7925,-72.2934,5.1
2011-08-12,USC00434115,44.7925,-72.2934,0.5
2011-08-13,USC00434115,44.7925,-72.2934,0.0
2011-08-14,USC00434115,44.7925,-72.2934,1.5
2011-08-15,USC00434115,44.7925,-72.2934,1.5
2011-08-16,USC00434115,44.7925,-72.2934,36.8
2011-08-17,USC00434115,44.7925,-72.2934,6.6
2011-08-18,USC00434115,44.7925,-72.2934,0.0
2011-08-19,USC00434115,44.7925,-72.2934,0.0
2011-08-20,USC00434115,44.7925,-72.2934,0.0
2011-08-21,USC00434115,44.7925,-72.2934,0.0
2011-08-22,USC00434115,44.7925,-72.2934,9.1
2011-08-23,USC00434115,44.7925,-72.2934,1.5
2011-08-24,USC00434115,44.7925,-72.2934,0.0
2011-08-25,USC00434115,44.7925,-72.2934,
2011-08-26,USC00434115,44.7925,-72.2934,
2011-08-27,USC00434115,44.7925,-72.2934,
2011-08-28,USC00434115,44.7925,-72.2934,17.3
2011-08-29,USC00434115,44.7925,-72.2934,113.5
2011-08-30,USC00434115,44.7925,-72.2934,0.0
2011-08-31,USC00434115,44.7925,-72.2934,0.0
2011-09-01,USC00434115,44.7925,-72.2934,0.0
2011-09-02,USC00434115,44.7925,-72.2934,0.0
2011-09-03,USC00434115,44.7925,-72.2934,2.5
2011-09-04,USC00434115,44.7925,-72.2934,0.0
2011-09-05,USC00434115,44.7925,-72.2934,5.8
2011-09-06,USC00434115,44.7925,-72.2934,28.7
2011-09-07,USC00434115,44.7925,-72.2934,1.0
2011-09-08,USC00434115,44.7925,-72.2934,10.2
2011-09-09,USC00434115,44.7925,-72.2934,0.0
2011-09-10,USC00434115,44.7925,-72.2934,0.0
2011-09-11,USC00434115,44.7925,-72.2934,
2011-09-12,USC00434115,44.7925,-72.2934,0.0
2011-09-13,USC00434115,44.7925,-72.2934,0.0
2011-09-14,USC00434115,44.7925,-72.2934,11.9
2011-09-15,USC00434115,44.7925,-72.2934,1.0
2011-09-16,USC00434115,44.7925,-72.2934,16.3
2011-09-17,USC00434115,44.7925,-72.2934,0.0
2011-09-18,USC00434115,44.7925,-72.2934,0.0
2011-09-19,USC00434115,44.7925,-72.2934,0.0
2011-09-20,USC00434115,44.7925,-72.2934,3.3
2011-09-21,USC00434115,44.7925,-72.2934,2.5
2011-09-22,USC00434115,44.7925,-72.2934,0.0
2011-09-23,USC00434115,44.7925,-72.2934,1.0
2011-09-24,USC00434115,44.7925,-72.2934,
2011-09-25,USC00434115,44.7925,-72.2934,17.0
2011-09-26,USC00434115,44.7925,-72.2934,0.0
2011-09-27,USC00434115,44.7925,-72.2934,0.0
2011-09-28,USC00434115,44.7925,-72.2934,0.0
2011-09-29,USC00434115,44.7925,-72.2934,4.3
2011-09-30,USC00434115,44.7925,-72.2934,43.2
2011-10-01,USC00434115,44.7925,-72.2934,
2011-10-02,USC00434115,44.7925,-72.2934,
2011-10-03,USC00434115,44.7925,-72.2934,
2011-10-04,USC00434115,44.7925,-72.2934,
2011-10-05,USC00434115,44.7925,-72.2934,
2011-10-06,USC00434115,44.7925,-72.2934,
2011-10-07,USC00434115,44.7925,-72.2934,
2011-10-08,USC00434115,44.7925,-72.2934,0.0
2011-10-09,USC00434115,44.7925,-72.2934,0.0
2011-10-10,USC00434115,44.7925,-72.2934,0.0
2011-10-11,USC00434115,44.7925,-72.2934,0.0
2011-10-12,USC00434115,44.7925,-72.2934,
2011-10-13,USC00434115,44.7925,-72.2934,
2011-10-14,USC00434115,44.7925,-72.2934,
2011-10-15,USC00434115,44.7925,-72.2934,
2011-10-16,USC00434115,44.7925,-72.2934,
2011-10-17,USC00434115,44.7925,-72.2934,
2011-10-18,USC00434115,44.7925,-72.2934,
2011-10-19,USC00434115,44.7925,-72.2934,
2011-10-20,USC00434115,44.7925,-72.2934,
2011-10-21,USC00434115,44.7925,-72.2934,
2011-10-22,USC00434115,44.7925,-72.2934,
2011-10-23,USC00434115,44.7925,-72.2934,
2011-10-24,USC00434115,44.7925,-72.2934,
2011-10-25,USC00434115,44.7925,-72.2934,
2011-10-26,USC00434115,44.7925,-72.2934,
2011-10-27,USC00434115,44.7925,-72.2934,
2011-10-28,USC00434115,44.7925,-72.2934,
2011-10-29,USC00434115,44.7925,-72.2934,
2011-10-30,USC00434115,44.7925,-72.2934,
2011-10-31,USC00434115,44.7925,-72.2934,0.0
2011-11-01,USC00434115,44.7925,-72.2934,0.0
2011-11-02,USC00434115,44.7925,-72.2934,0.0
2011-11-04,USC00434115,44.7925,-72.2934,0.0
2011-11-05,USC00434115,44.7925,-72.2934,0.0
2011-11-06,USC00434115,44.7925,-72.2934,0.0
2011-11-08,USC00434115,44.7925,-72.2934,0.0
2011-11-09,USC00434115,44.7925,-72.2934,0.0
2011-11-10,USC00434115,44.7925,-72.2934,0.0
2011-11-11,USC00434115,44.7925,-72.2934,0.0
2011-11-12,USC00434115,44.7925,-72.2934,0.0
2011-11-13,USC00434115,44.7925,-72.2934,0.0
2011-11-15,USC00434115,44.7925,-72.2934,8.1
2011-11-17,USC00434115,44.7925,-72.2934,0.0
2011-11-18,USC00434115,44.7925,-72.2934,0.0
2011-11-27,USC00434115,44.7925,-72.2934,
2011-11-28,USC00434115,44.7925,-72.2934,1.3
2011-11-29,USC00434115,44.7925,-72.2934,0.0
2011-11-30,USC00434115,44.7925,-72.2934,9.1
2011-12-01,USC00434115,44.7925,-72.2934,0.0
2011-12-02,USC00434115,44.7925,-72.2934,0.0
2011-12-03,USC00434115,44.7925,-72.2934,0.0
2011-12-04,USC00434115,44.7925,-72.2934,0.0
2011-12-05,USC00434115,44.7925,-72.2934,0.0
2011-12-06,USC00434115,44.7925,-72.2934,6.3
2011-12-07,USC00434115,44.7925,-72.2934,2.5
2011-12-08,USC00434115,44.7925,-72.2934,10.2
2011-12-09,USC00434115,44.7925,-72.2934,0.0
2011-12-10,USC00434115,44.7925,-72.2934,0.0
2011-12-11,USC00434115,44.7925,-72.2934,0.0
2011-12-12,USC00434115,44.7925,-72.2934,0.0
2011-12-13,USC00434115,44.7925,-72.2934,0.0
2011-12-14,USC00434115,44.7925,-72.2934,0.0
2011-12-15,USC00434115,44.7925,-72.2934,13.5
2011-12-16,USC00434115,44.7925,-72.2934,20.8
2011-12-17,USC00434115,44.7925,-72.2934,0.0
2011-12-18,USC00434115,44.7925,-72.2934,1.3
2011-12-19,USC00434115,44.7925,-72.2934,0.0
2011-12-20,USC00434115,44.7925,-72.2934,0.0
2011-12-21,USC00434115,44.7925,-72.2934,7.1
2011-12-22,USC00434115,44.7925,-72.2934,
2011-12-23,USC00434115,44.7925,-72.2934,
2011-12-24,USC00434115,44.7925,-72.2934,
2011-12-25,USC00434115,44.7925,-72.2934,
2011-12-26,USC00434115,44.7925,-72.2934,
2011-12-27,USC00434115,44.7925,-72.2934,
2011-12-28,USC00434115,44.7925,-72.2934,
2011-12-29,USC00434115,44.7925,-72.2934,
2011-12-30,USC00434115,44.7925,-72.2934,0.0
2011-12-31,USC00434115,44.7925,-72.2934,1.3
2012-01-01,USC00434115,44.7925,-72.2934,0.0
2012-01-02,USC00434115,44.7925,-72.2934,5.1
2012-01-03,USC00434115,44.7925,-72.2934,1.5
2012-01-04,USC00434115,44.7925,-72.2934,0.0
2012-01-05,USC00434115,44.7925,-72.2934,3.3
2012-01-06,USC00434115,44.7925,-72.2934,1.3
2012-01-07,USC00434115,44.7925,-72.2934,0.0
2012-01-08,USC00434115,44.7925,-72.2934,3.8
2012-01-09,USC00434115,44.7925,-72.2934,0.0
2012-01-10,USC00434115,44.7925,-72.2934,0.0
2012-01-11,USC00434115,44.7925,-72.2934,0.0
2012-01-12,USC00434115,44.7925,-72.2934,0.0
2012-01-13,USC00434115,44.7925,-72.2934,6.3
2012-01-14,USC00434115,44.7925,-72.2934,6.9
2012-01-15,USC00434115,44.7925,-72.2934,0.0
2012-01-16,USC00434115,44.7925,-72.2934,0.0
2012-01-17,USC00434115,44.7925,-72.2934,0.8
2012-01-18,USC00434115,44.7925,-72.2934,5.1
2012-01-19,USC00434115,44.7925,-72.2934,0.0
2012-01-20,USC00434115,44.7925,-72.2934,4.3
2012-01-21,USC00434115,44.7925,-72.2934,0.0
2012-01-22,USC00434115,44.7925,-72.2934,0.0
2012-01-23,USC00434115,44.7925,-72.2934,0.0
2012-01-24,USC00434115,44.7925,-72.2934,5.1
2012-01-25,USC00434115,44.7925,-72.2934,0.0
2012-01-26,USC00434115,44.7925,-72.2934,0.0
2012-01-27,USC00434115,44.7925,-72.2934,12.7
2012-01-28,USC00434115,44.7925,-72.2934,5.1
2012-01-29,USC00434115,44.7925,-72.2934,1.5
2012-01-30,USC00434115,44.7925,-72.2934,1.3
2012-01-31,USC00434115,44.7925,-72.2934,1.3
2012-02-01,USC00434115,44.7925,-72.2934,3.8
2012-02-02,USC00434115,44.7925,-72.2934,0.0
2012-02-03,USC00434115,44.7925,-72.2934,0.0
2012-02-04,USC00434115,44.7925,-72.2934,1.3
2012-02-05,USC00434115,44.7925,-72.2934,0.0
2012-02-06,USC00434115,44.7925,-72.2934,0.0
2012-02-07,USC00434115,44.7925,-72.2934,0.0
2012-02-08,USC00434115,44.7925,-72.2934,0.0
2012-02-09,USC00434115,44.7925,-72.2934,0.0
2012-02-10,USC00434115,44.7925,-72.2934,0.0
2012-02-11,USC00434115,44.7925,-72.2934,0.0
2012-02-12,USC00434115,44.7925,-72.2934,0.0
2012-02-13,USC00434115,44.7925,-72.2934,0.0
2012-02-14,USC00434115,44.7925,-72.2934,0.0
2012-02-15,USC00434115,44.7925,-72.2934,0.0
2012-02-16,USC00434115,44.7925,-72.2934,0.0
2012-02-17,USC00434115,44.7925,-72.2934,0.0
2012-02-18,USC00434115,44.7925,-72.2934,5.8
2012-02-19,USC00434115,44.7925,-72.2934,0.0
2012-02-20,USC00434115,44.7925,-72.2934,0.0
2012-02-21,USC00434115,44.7925,-72.2934,0.0
2012-02-22,USC00434115,44.7925,-72.2934,0.0
2012-02-23,USC00434115,44.7925,-72.2934,0.0
2012-02-24,USC00434115,44.7925,-72.2934,0.0
2012-02-25,USC00434115,44.7925,-72.2934,23.4
2012-02-26,USC00434115,44.7925,-72.2934,3.8
2012-02-27,USC00434115,44.7925,-72.2934,0.0
2012-02-28,USC00434115,44.7925,-72.2934,3.8
2012-02-29,USC00434115,44.7925,-72.2934,0.0
2012-03-01,USC00434115,44.7925,-72.2934,3.8
2012-03-02,USC00434115,44.7925,-72.2934,4.3
2012-03-03,USC00434115,44.7925,-72.2934,2.8
2012-03-04,USC00434115,44.7925,-72.2934,0.0
2012-03-05,USC00434115,44.7925,-72.2934,0.0
2012-03-06,USC00434115,44.7925,-72.2934,0.0
2012-03-07,USC00434115,44.7925,-72.2934,0.0
2012-03-08,USC00434115,44.7925,-72.2934,0.0
2012-03-09,USC00434115,44.7925,-72.2934,13.5
2012-03-10,USC00434115,44.7925,-72.2934,0.0
2012-03-11,USC00434115,44.7925,-72.2934,0.0
2012-03-12,USC00434115,44.7925,-72.2934,0.0
2012-03-13,USC00434115,44.7925,-72.2934,
2012-03-14,USC00434115,44.7925,-72.2934,3.3
2012-03-15,USC00434115,44.7925,-72.2934,3.0
2012-03-16,USC00434115,44.7925,-72.2934,4.3
2012-03-17,USC00434115,44.7925,-72.2934,5.1
2012-03-18,USC00434115,44.7925,-72.2934,0.0
2012-03-19,USC00434115,44.7925,-72.2934,0.0
2012-03-20,USC00434115,44.7925,-72.2934,11.9
2012-03-21,USC00434115,44.7925,-72.2934,
2012-03-22,USC00434115,44.7925,-72.2934,0.0
2012-03-23,USC00434115,44.7925,-72.2934,0.0
2012-03-24,USC00434115,44.7925,-72.2934,0.0
2012-03-25,USC00434115,44.7925,-72.2934,0.0
2012-03-26,USC00434115,44.7925,-72.2934,0.0
2012-03-27,USC00434115,44.7925,-72.2934,0.0
2012-03-28,USC00434115,44.7925,-72.2934,0.0
2012-03-29,USC00434115,44.7925,-72.2934,0.0
2012-03-30,USC00434115,44.7925,-72.2934,6.3
2012-03-31,USC00434115,44.7925,-72.2934,0.0
2012-04-01,USC00434115,44.7925,-72.2934,0.0
2012-04-02,USC00434115,44.7925,-72.2934,0.0
2012-04-03,USC00434115,44.7925,-72.2934,0.0
2012-04-05,USC00434115,44.7925,-72.2934,0.0
2012-04-11,USC00434115,44.7925,-72.2934,27.2
2012-04-12,USC00434115,44.7925,-72.2934,5.1
2012-04-14,USC00434115,44.7925,-72.2934,0.0
2012-04-17,USC00434115,44.7925,-72.2934,0.0
2012-04-18,USC00434115,44.7925,-72.2934,0.0
2012-04-19,USC00434115,44.7925,-72.2934,0.0
2012-04-20,USC00434115,44.7925,-72.2934,0.0
2012-04-21,USC00434115,44.7925,-72.2934,0.0
2012-04-23,USC00434115,44.7925,-72.2934,17.8
2012-04-24,USC00434115,44.7925,-72.2934,2.8
2012-04-25,USC00434115,44.7925,-72.2934,1.3
2012-04-26,USC00434115,44.7925,-72.2934,1.8
2012-04-27,USC00434115,44.7925,-72.2934,8.4
2012-04-28,USC00434115,44.7925,-72.2934,0.0
2012-04-29,USC00434115,44.7925,-72.2934,0.0
2012-05-01,USC00434115,44.7925,-72.2934,7.6
2012-05-02,USC00434115,44.7925,-72.2934,1.0
2012-05-03,USC00434115,44.7925,-72.2934,0.0
2012-05-04,USC00434115,44.7925,-72.2934,3.8
2012-05-05,USC00434115,44.7925,-72.2934,1.8
2012-05-06,USC00434115,44.7925,-72.2934,0.0
2012-05-07,USC00434115,44.7925,-72.2934,0.0
2012-05-08,USC00434115,44.7925,-72.2934,0.0
2012-05-09,USC00434115,44.7925,-72.2934,4.3
2012-05-10,USC00434115,44.7925,-72.2934,10.7
2012-05-11,USC00434115,44.7925,-72.2934,3.3
2012-05-12,USC00434115,44.7925,-72.2934,0.0
2012-05-13,USC00434115,44.7925,-72.2934,0.0
2012-05-14,USC00434115,44.7925,-72.2934,0.0
2012-05-15,USC00434115,44.7925,-72.2934,3.8
2012-05-16,USC00434115,44.7925,-72.2934,0.0
2012-05-17,USC00434115,44.7925,-72.2934,12.7
2012-05-18,USC00434115,44.7925,-72.2934,0.0
2012-05-19,USC00434115,44.7925,-72.2934,0.0
2012-05-20,USC00434115,44.7925,-72.2934,0.0
2012-05-21,USC00434115,44.7925,-72.2934,0.0
2012-05-22,USC00434115,44.7925,-72.2934,0.0
2012-05-23,USC00434115,44.7925,-72.2934,10.2
2012-05-24,USC00434115,44.7925,-72.2934,0.0
2012-05-25,USC00434115,44.7925,-72.2934,0.0
2012-05-26,USC00434115,44.7925,-72.2934,0.0
2012-05-27,USC00434115,44.7925,-72.2934,0.0
2012-05-28,USC00434115,44.7925,-72.2934,1.8
2012-05-29,USC00434115,44.7925,-72.2934,24.1
2012-05-30,USC00434115,44.7925,-72.2934,30.0
2012-05-31,USC00434115,44.7925,-72.2934,0.0
2012-06-01,USC00434115,44.7925,-72.2934,0.0
2012-06-02,USC00434115,44.7925,-72.2934,0.0
2012-06-03,USC00434115,44.7925,-72.2934,0.0
2012-06-04,USC00434115,44.7925,-72.2934,0.0
2012-06-05,USC00434115,44.7925,-72.2934,0.0
2012-06-06,USC00434115,44.7925,-72.2934,0.0
2012-06-07,USC00434115,44.7925,-72.2934,0.0
2012-06-08,USC00434115,44.7925,-72.2934,0.0
2012-06-09,USC00434115,44.7925,-72.2934,17.0
2012-06-10,USC00434115,44.7925,-72.2934,0.0
2012-06-11,USC00434115,44.7925,-72.2934,0.0
2012-06-12,USC00434115,44.7925,-72.2934,0.0
2012-06-13,USC00434115,44.7925,-72.2934,7.6
2012-06-14,USC00434115,44.7925,-72.2934,0.0
2012-06-15,USC00434115,44.7925,-72.2934,0.0
2012-06-16,USC00434115,44.7925,-72.2934,0.0
2012-06-17,USC00434115,44.7925,-72.2934,0.0
2012-06-18,USC00434115,44.7925,-72.2934,0.0
2012-06-19,USC00434115,44.7925,-72.2934,0.0
2012-06-20,USC00434115,44.7925,-72.2934,0.0
2012-06-21,USC00434115,44.7925,-72.2934,5.8
2012-06-22,USC00434115,44.7925,-72.2934,0.0
2012-06-23,USC00434115,44.7925,-72.2934,0.0
2012-06-24,USC00434115,44.7925,-72.2934,2.5
2012-06-25,USC00434115,44.7925,-72.2934,22.4
2012-06-26,USC00434115,44.7925,-72.2934,13.7
2012-06-27,USC00434115,44.7925,-72.2934,8.1
2012-06-28,USC00434115,44.7925,-72.2934,6.9
2012-06-29,USC00434115,44.7925,-72.2934,0.0
2012-06-30,USC00434115,44.7925,-72.2934,0.0
2012-07-01,USC00434115,44.7925,-72.2934,1.3
2012-07-02,USC00434115,44.7925,-72.2934,1.8
2012-07-03,USC00434115,44.7925,-72.2934,5.1
2012-07-04,USC00434115,44.7925,-72.2934,8.9
2012-07-05,USC00434115,44.7925,-72.2934,50.5
2012-07-06,USC00434115,44.7925,-72.2934,0.0
2012-07-07,USC00434115,44.7925,-72.2934,0.0
2012-07-08,USC00434115,44.7925,-72.2934,0.0
2012-07-09,USC00434115,44.7925,-72.2934,0.0
2012-07-10,USC00434115,44.7925,-72.2934,0.0
2012-07-11,USC00434115,44.7925,-72.2934,0.0
2012-07-12,USC00434115,44.7925,-72.2934,0.0
2012-07-13,USC00434115,44.7925,-72.2934,0.0
2012-07-14,USC00434115,44.7925,-72.2934,0.0
2012-07-15,USC00434115,44.7925,-72.2934,0.0
2012-07-16,USC00434115,44.7925,-72.2934,1.5
2012-07-17,USC00434115,44.7925,-72.2934,0.0
2012-07-18,USC00434115,44.7925,-72.2934,17.8
2012-07-19,USC00434115,44.7925,-72.2934,0.0
2012-07-20,USC00434115,44.7925,-72.2934,0.0
2012-07-21,USC00434115,44.7925,-72.2934,0.0
2012-07-22,USC00434115,44.7925,-72.2934,0.0
2012-07-23,USC00434115,44.7925,-72.2934,0.0
2012-07-24,USC00434115,44.7925,-72.2934,29.7
2012-07-25,USC00434115,44.7925,-72.2934,0.0
2012-07-26,USC00434115,44.7925,-72.2934,2.5
2012-07-27,USC00434115,44.7925,-72.2934,0.5
2012-07-28,USC00434115,44.7925,-72.2934,0.0
2012-07-29,USC00434115,44.7925,-72.2934,0.0
2012-07-30,USC00434115,44.7925,-72.2934,16.0
2012-07-31,USC00434115,44.7925,-72.2934,0.0
2012-08-01,USC00434115,44.7925,-72.2934,0.0
2012-08-02,USC00434115,44.7925,-72.2934,0.0
2012-08-03,USC00434115,44.7925,-72.2934,0.0
2012-08-04,USC00434115,44.7925,-72.2934,0.0
2012-08-05,USC00434115,44.7925,-72.2934,0.0
2012-08-06,USC00434115,44.7925,-72.2934,8.1
2012-08-07,USC00434115,44.7925,-72.2934,0.0
2012-08-08,USC00434115,44.7925,-72.2934,0.0
2012-08-09,USC00434115,44.7925,-72.2934,0.0
2012-08-10,USC00434115,44.7925,-72.2934,0.0
2012-08-11,USC00434115,44.7925,-72.2934,18.0
2012-08-12,USC00434115,44.7925,-72.2934,21.6
2012-08-13,USC00434115,44.7925,-72.2934,0.0
2012-08-14,USC00434115,44.7925,-72.2934,1.3
2012-08-15,USC00434115,44.7925,-72.2934,4.3
2012-08-16,USC00434115,44.7925,-72.2934,0.3
2012-08-17,USC00434115,44.7925,-72.2934,0.0
2012-08-18,USC00434115,44.7925,-72.2934,0.0
2012-08-19,USC00434115,44.7925,-72.2934,0.0
2012-08-20,USC00434115,44.7925,-72.2934,0.0
2012-08-21,USC00434115,44.7925,-72.2934,0.0
2012-08-22,USC00434115,44.7925,-72.2934,0.0
2012-08-23,USC00434115,44.7925,-72.2934,0.0
2012-08-24,USC00434115,44.7925,-72.2934,0.0
2012-08-25,USC00434115,44.7925,-72.2934,0.0
2012-08-26,USC00434115,44.7925,-72.2934,0.0
2012-08-27,USC00434115,44.7925,-72.2934,0.0
2012-08-28,USC00434115,44.7925,-72.2934,11.4
2012-08-29,USC00434115,44.7925,-72.2934,0.0
2012-08-30,USC00434115,44.7925,-72.2934,0.0
2012-08-31,USC00434115,44.7925,-72.2934,0.0
2012-09-01,USC00434115,44.7925,-72.2934,30.0
2012-09-02,USC00434115,44.7925,-72.2934,0.0
2012-09-03,USC00434115,44.7925,-72.2934,0.0
2012-09-04,USC00434115,44.7925,-72.2934,0.0
2012-09-05,USC00434115,44.7925,-72.2934,104.6
2012-09-06,USC00434115,44.7925,-72.2934,0.8
2012-09-07,USC00434115,44.7925,-72.2934,0.0
2012-09-08,USC00434115,44.7925,-72.2934,0.0
2012-09-09,USC00434115,44.7925,-72.2934,13.5
2012-09-10,USC00434115,44.7925,-72.2934,0.0
2012-09-11,USC00434115,44.7925,-72.2934,0.0
2012-09-12,USC00434115,44.7925,-72.2934,0.0
2012-09-13,USC00434115,44.7925,-72.2934,0.0
2012-09-14,USC00434115,44.7925,-72.2934,0.0
2012-09-15,USC00434115,44.7925,-72.2934,0.0
2012-09-16,USC00434115,44.7925,-72.2934,0.0
2012-09-17,USC00434115,44.7925,-72.2934,0.0
2012-09-18,USC00434115,44.7925,-72.2934,0.0
2012-09-19,USC00434115,44.7925,-72.2934,23.1
2012-09-20,USC00434115,44.7925,-72.2934,0.0
2012-09-21,USC00434115,44.7925,-72.2934,0.0
2012-09-22,USC00434115,44.7925,-72.2934,0.0
2012-09-23,USC00434115,44.7925,-72.2934,10.2
2012-09-24,USC00434115,44.7925,-72.2934,0.0
2012-09-25,USC00434115,44.7925,-72.2934,0.8
2012-09-26,USC00434115,44.7925,-72.2934,2.5
2012-09-27,USC00434115,44.7925,-72.2934,0.0
2012-09-28,USC00434115,44.7925,-72.2934,0.0
2012-09-29,USC00434115,44.7925,-72.2934,3.6
2012-09-30,USC00434115,44.7925,-72.2934,0.8
2012-10-01,USC00434115,44.7925,-72.2934,13.7
2012-10-02,USC00434115,44.7925,-72.2934,1.3
2012-10-03,USC00434115,44.7925,-72.2934,0.3
2012-10-04,USC00434115,44.7925,-72.2934,3.0
2012-10-05,USC00434115,44.7925,-72.2934,10.2
2012-10-06,USC00434115,44.7925,-72.2934,7.1
2012-10-07,USC00434115,44.7925,-72.2934,0.0
2012-10-08,USC00434115,44.7925,-72.2934,3.8
2012-10-09,USC00434115,44.7925,-72.2934,0.0
2012-10-10,USC00434115,44.7925,-72.2934,0.0
2012-10-11,USC00434115,44.7925,-72.2934,9.7
2012-10-12,USC00434115,44.7925,-72.2934,0.0
2012-10-13,USC00434115,44.7925,-72.2934,2.5
2012-10-14,USC00434115,44.7925,-72.2934,7.6
2012-10-15,USC00434115,44.7925,-72.2934,0.8
2012-10-16,USC00434115,44.7925,-72.2934,4.6
2012-10-17,USC00434115,44.7925,-72.2934,0.0
